part_number,assembly_path,object_name,label,quantity,material_code,material_description,material_standard,estimated_mass_kg,volume_mm3,design_status
01-001,01_Infraestrutura/01_Infraestrutura,Piso_Estrutural_Continuo,Piso estrutural sob a escada,1,CONCRETE_DARK,Concreto estrutural,Concreto estrutural; classe a confirmar,19783.632,8243180000.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
01-002,01_Infraestrutura/01_Infraestrutura,Patamar_Estrutural_Inferior,Patamar estrutural inferior,1,CONCRETE_DARK,Concreto estrutural,Concreto estrutural; classe a confirmar,1362.768,567820000.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
01-003,01_Infraestrutura/01_Infraestrutura,Patamar_Estrutural_Superior,Patamar estrutural superior,1,CONCRETE_DARK,Concreto estrutural,Concreto estrutural; classe a confirmar,1362.768,567820000.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
02-001,02_Escadaria/02_Escadaria,Escadaria_Alinhada,Escadaria alinhada ao vao,1,CONCRETE,Concreto aparente,Concreto estrutural; classe a confirmar,17863.213043,7443005434.783,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
02-002,02_Escadaria/02_Escadaria,Guias_Laterais,Guias Laterais,1,CONCRETE_DARK,Concreto estrutural,Concreto estrutural; classe a confirmar,1174.385896,489327456.822,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
02-003,02_Escadaria/02_Escadaria,Guarda_Corpo_Escada,Guarda Corpo Escada,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,1422.084113,181157211.888,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-111,03_Estacoes/03_Estacoes,Bumpers_Eixo,Bumpers Eixo,1,GALVANIZED,Aco galvanizado,Aco carbono galvanizado; grau e camada a confirmar,3.835357,488580.489,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-112,03_Estacoes/03_Estacoes,Bumpers_Suporte,Bumpers Suporte,1,STEEL_DARK,Aco carbono,Aco carbono; ASTM A36 como hipotese preliminar,21.1008,2688000.0,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-113,03_Estacoes/03_Estacoes,Bumper_Borracha_01,Bumper Borracha 01,1,RUBBER,Borracha reciclada,Borracha industrial; dureza e composto a confirmar,2.954723,2686111.534,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
03-114,03_Estacoes/03_Estacoes,Bumper_Borracha_02,Bumper Borracha 02,1,RUBBER,Borracha reciclada,Borracha industrial; dureza e composto a confirmar,2.954723,2686111.534,PRELIMINAR - geometria e material sujeitos a verificacao de engenharia
